Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
13,Luke Babbitt,SF,28,MIA,2,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,babbilu01
14,Wade Baldwin,PG,21,POR,4,0,19,1,4,0.25,1,1,1,0,3,0,0.375,1,2,0.5,0,3,3,3,1,1,3,1,4,baldwwa01
15,Jerryd Bayless,SG,29,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bayleje01
16,Aron Baynes,C,31,BOS,19,12,389,45,89,0.506,11,23,0.478,34,66,0.515,0.567,13,18,0.722,45,73,118,19,4,11,8,43,114,baynear01
17,Bradley Beal,SG,24,WAS,6,6,216,49,108,0.454,21,45,0.467,28,63,0.444,0.551,20,23,0.87,2,18,20,17,7,2,15,19,139,bealbr01
18,Marco Belinelli,SG,31,PHI,10,0,273,43,106,0.406,16,46,0.348,27,60,0.45,0.481,27,31,0.871,1,20,21,20,7,0,4,20,129,belinma01
19,Jordan Bell,C,23,GSW,17,0,173,17,32,0.531,0,1,0,17,31,0.548,0.531,7,14,0.5,15,32,47,15,6,9,6,18,41,belljo01
20,D?vis Bert?ns,PF,25,SAS,5,0,82,3,18,0.167,3,16,0.188,0,2,0,0.25,8,11,0.727,1,10,11,6,2,0,1,10,17,bertada01
21,Nemanja Bjelica,PF,29,MIN,5,0,47,7,16,0.438,4,7,0.571,3,9,0.333,0.563,5,7,0.714,4,11,15,3,3,0,1,6,23,bjeline01
22,Tarik Black,C,26,HOU,7,0,19,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,2,4,6,2,0,1,1,5,2,blackta01
23,Eric Bledsoe,PG,28,MIL,7,7,225,37,84,0.44,7,22,0.318,30,62,0.484,0.482,14,20,0.7,3,22,25,26,7,6,15,19,95,bledser01
24,Bojan Bogdanovi?,SF,28,IND,7,7,238,32,81,0.395,17,45,0.378,15,36,0.417,0.5,6,10,0.6,1,23,24,13,6,0,13,23,87,bogdabo02
25,Trevor Booker,PF,30,IND,7,0,64,6,10,0.6,0,1,0,6,9,0.667,0.6,6,7,0.857,5,13,18,0,1,1,1,12,18,booketr01
26,Tony Bradley,C,20,UTA,1,0,2,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,0,0,0,0,2,bradlto01
27,Corey Brewer,SG,31,OKC,6,6,151,13,25,0.52,5,11,0.455,8,14,0.571,0.62,6,6,1,4,9,13,5,7,5,2,17,37,breweco01
28,Malcolm Brogdon,PG,25,MIL,7,5,186,24,55,0.436,5,19,0.263,19,36,0.528,0.482,8,10,0.8,3,21,24,17,1,0,12,14,61,brogdma01
29,Aaron Brooks,PG,33,MIN,2,0,3,2,3,0.667,0,1,0,2,2,1,0.667,0,2,0,0,0,0,0,0,0,0,0,4,brookaa01
30,Jaylen Brown,SG,21,BOS,18,15,583,124,266,0.466,44,112,0.393,80,154,0.519,0.549,32,50,0.64,16,71,87,26,14,10,23,58,324,brownja02
31,Lorenzo Brown,PG,27,TOR,4,0,29,3,10,0.3,2,5,0.4,1,5,0.2,0.4,1,2,0.5,1,5,6,2,0,1,1,2,9,brownlo01
32,Sterling Brown,SG,22,MIL,3,0,13,3,5,0.6,1,3,0.333,2,2,1,0.7,0,0,,1,1,2,0,1,0,0,2,7,brownst02
33,Alec Burks,SG,26,UTA,9,0,120,30,64,0.469,9,20,0.45,21,44,0.477,0.539,13,15,0.867,2,22,24,17,4,1,8,9,82,burksal01
34,Jimmy Butler,SG,28,MIN,5,5,170,28,63,0.444,8,17,0.471,20,46,0.435,0.508,15,18,0.833,3,27,30,20,4,1,5,9,79,butleji01
35,José Calderón,PG,36,CLE,13,3,104,9,26,0.346,4,18,0.222,5,8,0.625,0.423,2,2,1,2,9,11,9,5,0,5,15,24,caldejo01
36,Clint Capela,C,23,HOU,17,17,520,95,144,0.66,0,0,,95,144,0.66,0.66,26,55,0.473,61,136,197,22,14,36,15,38,216,capelca01
37,Ian Clark,SG,26,NOP,9,0,190,28,66,0.424,10,28,0.357,18,38,0.474,0.5,4,4,1,2,8,10,11,8,2,9,20,70,clarkia01
38,Jordan Clarkson,SG,25,CLE,19,0,286,37,123,0.301,11,46,0.239,26,77,0.338,0.346,5,6,0.833,9,23,32,13,8,3,13,21,90,clarkjo01
39,Zach Collins,C,20,POR,4,0,70,11,30,0.367,3,14,0.214,8,16,0.5,0.417,3,4,0.75,3,9,12,6,3,2,2,10,28,colliza01
40,Darren Collison,PG,30,IND,7,7,214,31,68,0.456,8,23,0.348,23,45,0.511,0.515,9,12,0.75,1,20,21,33,7,0,9,7,79,collida01
41,Pat Connaughton,SG,25,POR,4,0,59,6,15,0.4,2,10,0.2,4,5,0.8,0.467,2,2,1,2,2,4,6,1,1,1,9,16,connapa01
42,Quinn Cook,PG,24,GSW,17,0,175,30,67,0.448,7,31,0.226,23,36,0.639,0.5,14,17,0.824,2,21,23,11,4,2,5,13,81,cookqu01
43,Robert Covington,SF,27,PHI,10,8,281,27,83,0.325,15,48,0.313,12,35,0.343,0.416,12,16,0.75,12,41,53,25,11,9,11,30,81,covinro01
44,Jamal Crawford,SG,37,MIN,5,0,123,21,47,0.447,7,17,0.412,14,30,0.467,0.521,10,13,0.769,1,12,13,12,5,0,5,6,59,crawfja01
45,Jordan Crawford,SG,29,NOP,2,0,15,8,13,0.615,3,8,0.375,5,5,1,0.731,0,0,,0,4,4,1,1,0,3,1,19,crawfjo02
46,Jae Crowder,SF,27,UTA,11,2,323,35,108,0.324,22,66,0.333,13,42,0.31,0.426,18,28,0.643,4,52,56,19,15,2,14,25,110,crowdja01
47,Stephen Curry,PG,29,GSW,15,14,555,137,304,0.451,64,162,0.395,73,142,0.514,0.556,45,47,0.957,9,82,91,81,26,11,43,38,383,curryst01
48,Anthony Davis,PF,24,NOP,9,9,358,106,204,0.52,6,22,0.273,100,182,0.549,0.534,53,64,0.828,24,97,121,15,18,21,23,30,271,davisan02
49,Ed Davis,C,28,POR,4,0,71,5,10,0.5,0,0,,5,10,0.5,0.5,1,4,0.25,5,27,32,0,0,1,4,7,11,davised01
50,Matthew Dellavedova,PG,27,MIL,6,0,78,4,12,0.333,2,9,0.222,2,3,0.667,0.417,2,2,1,1,4,5,16,2,0,6,6,12,dellama01
51,DeMar DeRozan,SG,28,TOR,10,10,354,87,199,0.437,10,35,0.286,77,164,0.47,0.462,43,53,0.811,6,30,36,40,5,6,23,24,227,derozde01
52,Cheick Diallo,PF,21,NOP,7,0,48,5,12,0.417,0,0,,5,12,0.417,0.417,0,0,,4,5,9,0,1,1,1,9,10,diallch01
53,Gorgui Dieng,C,28,MIN,5,0,70,6,18,0.333,2,5,0.4,4,13,0.308,0.389,3,4,0.75,3,15,18,4,2,4,1,6,17,dienggo01
54,Goran Dragi?,PG,31,MIA,5,5,156,35,75,0.467,8,21,0.381,27,54,0.5,0.52,15,22,0.682,3,10,13,23,5,0,15,15,93,dragigo01
55,Kevin Durant,SF,29,GSW,21,21,807,212,435,0.487,47,138,0.341,165,297,0.556,0.541,137,152,0.901,13,150,163,99,15,25,50,43,608,duranke01
56,Wayne Ellington,SG,30,MIA,5,0,101,12,35,0.343,12,30,0.4,0,5,0,0.514,3,3,1,1,7,8,3,2,2,3,9,39,ellinwa01
57,Joel Embiid,C,23,PHI,8,8,278,60,138,0.435,8,29,0.276,52,109,0.477,0.464,43,61,0.705,23,78,101,24,7,14,29,31,171,embiijo01
58,Dante Exum,PG,22,UTA,10,0,114,20,41,0.488,2,7,0.286,18,34,0.529,0.512,9,12,0.75,4,10,14,10,1,1,15,15,51,exumda01
59,Derrick Favors,C,26,UTA,11,9,286,42,68,0.618,2,5,0.4,40,63,0.635,0.632,16,33,0.485,20,37,57,13,8,11,10,17,102,favorde01
60,Raymond Felton,PG,33,OKC,6,0,79,12,31,0.387,7,14,0.5,5,17,0.294,0.5,0,2,0,2,11,13,9,4,2,5,7,31,feltora01
61,Terrance Ferguson,SG,19,OKC,3,0,6,1,1,1,1,1,1,0,0,,1.5,0,0,,1,0,1,1,0,0,0,2,3,fergute01
62,Bryn Forbes,SG,24,SAS,4,0,54,5,17,0.294,2,9,0.222,3,8,0.375,0.353,5,7,0.714,1,2,3,2,0,0,0,3,17,forbebr01
63,Tim Frazier,PG,27,WAS,2,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,3,1,0,0,2,0,fraziti01
64,Markelle Fultz,SG,19,PHI,3,0,23,1,7,0.143,0,0,,1,7,0.143,0.143,3,4,0.75,0,3,3,5,2,0,1,4,5,fultzma01
65,Pau Gasol,C,37,SAS,5,0,90,10,20,0.5,1,3,0.333,9,17,0.529,0.525,9,10,0.9,2,22,24,14,0,1,6,5,30,gasolpa01
66,Rudy Gay,PF,31,SAS,5,4,160,26,65,0.4,4,18,0.222,22,47,0.468,0.431,5,9,0.556,9,19,28,11,8,1,6,16,61,gayru01
67,Paul George,SF,27,OKC,6,6,251,49,120,0.408,19,52,0.365,30,68,0.441,0.488,31,36,0.861,4,32,36,16,8,4,24,17,148,georgpa01
68,Marcus Georges-Hunt,SG,23,MIN,2,0,3,0,1,0,0,0,,0,1,0,0,0,0,,1,0,1,0,0,0,0,0,0,georgma01
69,Taj Gibson,PF,32,MIN,5,5,123,14,22,0.636,0,0,,14,22,0.636,0.636,3,3,1,7,13,20,2,1,2,4,8,31,gibsota01
70,Manu Ginóbili*,SG,40,SAS,5,0,107,15,37,0.405,6,18,0.333,9,19,0.474,0.486,9,11,0.818,1,14,15,16,7,1,7,13,45,ginobma01
71,Rudy Gobert,C,25,UTA,11,11,383,55,84,0.655,0,0,,55,84,0.655,0.655,35,58,0.603,43,75,118,11,10,25,21,34,145,goberru01
72,Eric Gordon,SG,29,HOU,17,2,549,84,221,0.38,43,130,0.331,41,91,0.451,0.477,51,61,0.836,9,36,45,28,10,8,24,29,262,gordoer01
73,Marcin Gortat,C,33,WAS,6,6,160,24,43,0.558,0,0,,24,43,0.558,0.558,4,7,0.571,13,25,38,6,0,2,6,15,52,gortama01
74,Jerami Grant,PF,23,OKC,6,0,133,18,35,0.514,2,8,0.25,16,27,0.593,0.543,5,11,0.455,8,12,20,6,4,3,6,15,43,grantje01
75,Danny Green,SG,30,SAS,5,5,103,8,30,0.267,5,20,0.25,3,10,0.3,0.35,0,0,,4,7,11,1,1,4,2,8,21,greenda02
76,Draymond Green,PF,27,GSW,21,21,819,83,192,0.432,21,79,0.266,62,113,0.549,0.487,39,49,0.796,42,180,222,171,41,31,63,75,226,greendr01
77,Gerald Green,SG,32,HOU,17,0,272,37,94,0.394,27,72,0.375,10,22,0.455,0.537,6,7,0.857,6,44,50,1,4,7,10,27,107,greenge01
78,Jeff Green,PF,31,CLE,22,2,523,58,142,0.408,21,70,0.3,37,72,0.514,0.482,33,46,0.717,7,46,53,32,7,15,17,36,170,greenje02
79,James Harden,SG,28,HOU,17,17,621,158,385,0.41,52,174,0.299,106,211,0.502,0.478,118,133,0.887,14,75,89,116,38,11,65,46,486,hardeja01
80,Maurice Harkless,SF,24,POR,2,1,53,7,13,0.538,2,6,0.333,5,7,0.714,0.615,0,0,,3,5,8,4,0,1,1,4,16,harklma01
81,John Henson,C,27,MIL,2,2,74,9,13,0.692,0,0,,9,13,0.692,0.692,1,2,0.5,4,8,12,5,0,7,4,4,19,hensojo01
82,Nenê,C,35,HOU,11,0,107,12,20,0.6,0,0,,12,20,0.6,0.6,7,11,0.636,6,22,28,5,2,5,8,18,31,hilarne01
83,George Hill,PG,31,CLE,19,18,557,59,131,0.45,16,51,0.314,43,80,0.538,0.511,41,53,0.774,13,28,41,42,10,8,22,52,175,hillge01
84,Solomon Hill,SF,26,NOP,9,0,114,9,25,0.36,6,16,0.375,3,9,0.333,0.48,9,10,0.9,6,11,17,7,1,1,6,17,33,hillso01
85,Jrue Holiday,SG,27,NOP,9,9,348,88,170,0.518,16,50,0.32,72,120,0.6,0.565,21,30,0.7,9,42,51,57,10,5,23,22,213,holidjr01
86,Richaun Holmes,C,24,PHI,3,0,11,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,1,0,0,0,3,0,holmeri01
87,Rodney Hood,SG,25,CLE,17,1,260,39,92,0.424,4,24,0.167,35,68,0.515,0.446,9,12,0.75,7,24,31,18,5,4,13,30,91,hoodro01
88,Al Horford,C,31,BOS,19,19,679,111,204,0.544,15,43,0.349,96,161,0.596,0.581,62,75,0.827,32,125,157,63,19,22,32,39,299,horfoal01
89,Josh Huestis,PF,26,OKC,4,0,19,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,0,3,3,0,1,1,0,3,3,huestjo01
90,Serge Ibaka,PF,28,TOR,10,9,260,30,72,0.417,9,24,0.375,21,48,0.438,0.479,18,22,0.818,13,46,59,11,1,13,16,21,87,ibakase01
91,Andre Iguodala,SF,34,GSW,15,12,401,42,85,0.494,14,37,0.378,28,48,0.583,0.576,24,34,0.706,11,57,68,41,21,7,14,29,122,iguodan01
92,Ersan ?lyasova,PF,30,PHI,10,1,233,36,84,0.429,9,31,0.29,27,53,0.509,0.482,12,21,0.571,26,50,76,13,7,4,10,25,93,ilyaser01
93,Joe Ingles,SF,30,UTA,11,11,382,57,121,0.471,35,77,0.455,22,44,0.5,0.616,11,17,0.647,5,43,48,37,6,2,26,29,160,inglejo01
94,Aaron Jackson,PG,31,HOU,7,0,17,2,4,0.5,0,2,0,2,2,1,0.5,1,2,0.5,2,2,4,2,0,0,2,2,5,jacksaa01
95,LeBron James,PF,33,CLE,22,22,922,275,510,0.539,39,114,0.342,236,396,0.596,0.577,159,213,0.746,31,169,200,198,30,23,94,52,748,jamesle01
96,Brandon Jennings,PG,28,MIL,1,0,5,0,2,0,0,2,0,0,0,,0,2,2,1,0,0,0,0,0,0,1,0,2,jennibr01
97,Jonas Jerebko,PF,30,UTA,10,0,79,8,19,0.421,1,6,0.167,7,13,0.538,0.447,2,2,1,4,12,16,3,3,0,1,9,19,jerebjo01
98,Amir Johnson,C,30,PHI,8,1,94,11,21,0.524,0,0,,11,21,0.524,0.524,4,5,0.8,14,9,23,9,2,1,3,10,26,johnsam01
99,Dakari Johnson,C,22,OKC,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,johnsda04
100,James Johnson,PF,30,MIA,5,5,161,23,42,0.548,7,13,0.538,16,29,0.552,0.631,9,14,0.643,3,27,30,24,6,6,10,17,62,johnsja01
101,Joe Johnson,SF,36,HOU,8,0,54,6,17,0.353,0,3,0,6,14,0.429,0.353,0,0,,0,10,10,3,0,1,3,4,12,johnsjo02
102,Tyler Johnson,PG,25,MIA,5,5,81,14,26,0.538,6,10,0.6,8,16,0.5,0.654,6,7,0.857,1,7,8,4,2,0,2,14,40,johnsty01
103,Damian Jones,C,22,GSW,4,0,11,1,2,0.5,0,0,,1,2,0.5,0.5,2,3,0.667,1,2,3,0,0,0,3,4,4,jonesda03
104,Tyus Jones,PG,21,MIN,4,0,55,2,7,0.286,0,2,0,2,5,0.4,0.286,0,0,,0,9,9,8,1,0,1,0,4,jonesty01
105,Cory Joseph,PG,26,IND,7,0,143,12,33,0.364,3,11,0.273,9,22,0.409,0.409,6,6,1,2,15,17,21,9,2,4,10,33,josepco01
106,Furkan Korkmaz,SG,20,PHI,1,0,2,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,1,3,korkmfu01
107,Kyle Korver,SG,36,CLE,22,11,505,59,141,0.418,45,109,0.413,14,32,0.438,0.578,19,22,0.864,6,46,52,19,9,9,14,44,182,korveky01
108,Shane Larkin,PG,25,BOS,11,0,154,16,35,0.457,4,13,0.308,12,22,0.545,0.514,5,5,1,1,10,11,20,5,0,6,15,41,larkish01
109,Joffrey Lauvergne,C,26,SAS,1,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,0,2,lauvejo01
110,Ty Lawson,PG,30,WAS,5,0,96,9,26,0.346,5,8,0.625,4,18,0.222,0.442,6,6,1,2,11,13,15,3,0,3,6,29,lawsoty01
111,Jake Layman,SF,23,POR,1,0,8,3,3,1,0,0,,3,3,1,1,0,0,,0,1,1,1,2,0,0,0,6,laymaja01
112,T.J. Leaf,PF,20,IND,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,leaftj01
113,Meyers Leonard,C,25,POR,2,0,8,4,4,1,0,0,,4,4,1,1,0,0,,0,4,4,0,0,0,0,0,8,leoname01
114,DeAndre Liggins,SG,29,NOP,3,0,14,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,1,1,0,0,0,2,0,1,liggide01
115,Damian Lillard,PG,27,POR,4,4,162,25,71,0.352,9,30,0.3,16,41,0.39,0.415,15,17,0.882,3,15,18,19,5,0,16,8,74,lillada01
116,Shaun Livingston,PG,32,GSW,21,0,362,59,110,0.536,0,1,0,59,109,0.541,0.536,22,25,0.88,11,36,47,31,7,1,16,33,140,livinsh01
117,Kevon Looney,C,21,GSW,21,5,387,39,72,0.542,0,2,0,39,70,0.557,0.542,8,21,0.381,42,47,89,19,14,8,8,50,86,looneke01
118,Kevin Love,C,29,CLE,21,21,660,109,278,0.392,36,106,0.34,73,172,0.424,0.457,59,64,0.922,49,166,215,34,15,8,41,58,313,loveke01
119,Kyle Lowry,PG,31,TOR,10,10,361,60,118,0.508,28,63,0.444,32,55,0.582,0.627,26,32,0.813,2,41,43,85,15,0,31,33,174,lowryky01
120,Ian Mahinmi,C,31,WAS,6,0,52,10,14,0.714,0,0,,10,14,0.714,0.714,10,11,0.909,4,7,11,1,4,5,1,10,30,mahinia01
121,Thon Maker,C,20,MIL,6,2,130,11,28,0.393,6,20,0.3,5,8,0.625,0.5,5,7,0.714,6,17,23,5,2,11,4,17,33,makerth01
122,Luc Mbah a Moute,PF,31,HOU,9,0,149,9,36,0.25,3,15,0.2,6,21,0.286,0.292,4,7,0.571,3,19,22,3,6,4,6,8,25,mbahalu01
123,Patrick McCaw,SG,22,GSW,6,0,16,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,1,2,3,0,2,0,0,1,4,mccawpa01
124,CJ McCollum,SG,26,POR,4,4,155,40,77,0.519,11,26,0.423,29,51,0.569,0.591,10,13,0.769,0,8,8,14,5,1,9,11,101,mccolcj01
125,T.J. McConnell,PG,25,PHI,10,2,155,25,36,0.694,2,3,0.667,23,33,0.697,0.722,3,5,0.6,6,20,26,23,6,0,6,13,55,mccontj01
126,JaVale McGee,C,30,GSW,13,9,158,39,58,0.672,0,1,0,39,57,0.684,0.672,6,9,0.667,16,26,42,4,3,11,5,20,84,mcgeeja01
127,Rodney McGruder,SG,26,MIA,4,0,16,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,0,4,4,0,0,0,0,3,2,mcgruro01
128,Khris Middleton,SF,26,MIL,7,7,275,67,112,0.598,25,41,0.61,42,71,0.592,0.71,14,19,0.737,1,35,36,22,6,5,16,30,173,middlkh01
129,C.J. Miles,SF,30,TOR,10,1,227,32,71,0.451,19,45,0.422,13,26,0.5,0.585,13,16,0.813,6,18,24,8,7,3,9,21,96,milescj01
130,Darius Miller,SF,27,NOP,9,0,162,14,34,0.412,9,24,0.375,5,10,0.5,0.544,6,6,1,2,18,20,11,5,0,6,10,43,milleda01
131,Patty Mills,PG,29,SAS,5,5,165,25,57,0.439,13,35,0.371,12,22,0.545,0.553,4,5,0.8,2,8,10,13,3,1,9,15,67,millspa02
132,Nikola Miroti?,PF,26,NOP,9,9,320,49,102,0.48,22,51,0.431,27,51,0.529,0.588,15,19,0.789,9,77,86,15,10,12,10,24,135,mirotni01
133,Donovan Mitchell,SG,21,UTA,11,11,411,102,243,0.42,25,80,0.313,77,163,0.472,0.471,39,43,0.907,9,56,65,46,16,4,32,35,268,mitchdo01
134,Greg Monroe,C,27,BOS,11,0,105,19,38,0.5,0,0,,19,38,0.5,0.5,15,22,0.682,14,21,35,5,2,2,14,9,53,monrogr01
135,E'Twaun Moore,SG,28,NOP,9,9,284,41,88,0.466,9,25,0.36,32,63,0.508,0.517,11,16,0.688,6,17,23,15,6,1,11,20,102,mooreet01
136,Marcus Morris,PF,28,BOS,19,4,562,82,223,0.368,30,72,0.417,52,151,0.344,0.435,42,59,0.712,20,83,103,21,7,5,19,60,236,morrima03
137,Markieff Morris,PF,28,WAS,6,6,181,24,49,0.49,2,12,0.167,22,37,0.595,0.51,9,10,0.9,14,31,45,10,4,5,6,22,59,morrima02
138,Shabazz Muhammad,SG,25,MIL,4,0,29,9,20,0.45,4,5,0.8,5,15,0.333,0.55,3,5,0.6,0,4,4,0,2,1,2,2,25,muhamsh01
139,Dejounte Murray,PG,21,SAS,5,5,96,14,31,0.452,4,6,0.667,10,25,0.4,0.516,7,9,0.778,4,17,21,9,5,2,5,11,39,murrade01
140,Abdel Nader,SF,24,BOS,11,0,33,5,15,0.333,0,4,0,5,11,0.455,0.333,2,4,0.5,1,2,3,3,1,1,2,2,12,naderab01
141,Larry Nance Jr.,C,25,CLE,20,0,307,41,60,0.683,0,1,0,41,59,0.695,0.683,14,31,0.452,35,55,90,18,16,14,12,35,96,nancela02
142,Shabazz Napier,PG,26,POR,2,0,35,5,11,0.455,0,4,0,5,7,0.714,0.455,1,2,0.5,0,2,2,3,3,0,6,1,11,napiesh01
143,Raul Neto,PG,25,UTA,8,0,72,7,23,0.304,2,7,0.286,5,16,0.313,0.348,5,5,1,2,8,10,10,2,0,4,7,21,netora01
144,Lucas Nogueira,C,25,TOR,5,0,24,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,1,1,1,0,0,3,6,1,noguelu01
145,Jusuf Nurki?,C,23,POR,4,4,94,19,39,0.487,0,0,,19,39,0.487,0.487,9,11,0.818,12,20,32,4,6,5,3,14,47,nurkiju01
146,Royce O'Neale,SF,24,UTA,11,5,259,28,56,0.5,10,28,0.357,18,28,0.643,0.589,12,19,0.632,3,35,38,15,10,4,16,30,78,onealro01
147,Semi Ojeleye,PF,23,BOS,17,3,230,10,33,0.303,6,22,0.273,4,11,0.364,0.394,6,7,0.857,4,24,28,2,3,0,2,21,32,ojelese01
148,Emeka Okafor,C,35,NOP,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,okafoem01
149,Victor Oladipo,SG,25,IND,7,7,261,53,127,0.417,23,57,0.404,30,70,0.429,0.508,30,41,0.732,3,55,58,42,17,3,24,11,159,oladivi01
150,Kelly Olynyk,PF,26,MIA,5,0,146,21,44,0.477,8,19,0.421,13,25,0.52,0.568,14,20,0.7,7,16,23,19,7,6,8,19,64,olynyke01
151,Chinanu Onuaku,C,21,HOU,1,0,3,0,0,,0,0,,0,0,,,0,0,,1,0,1,1,1,0,0,1,0,onuakch01
152,Cedi Osman,SF,22,CLE,14,0,62,6,18,0.333,1,7,0.143,5,11,0.455,0.361,1,4,0.25,1,6,7,3,3,0,0,5,14,osmande01
153,Kelly Oubre Jr.,SF,22,WAS,6,1,148,18,48,0.375,4,19,0.211,14,29,0.483,0.417,16,18,0.889,1,22,23,4,6,3,5,16,56,oubreke01
154,Zaza Pachulia,C,33,GSW,7,0,26,4,7,0.571,0,0,,4,7,0.571,0.571,9,12,0.75,6,6,12,1,3,1,3,1,17,pachuza01
155,Jabari Parker,PF,22,MIL,7,0,167,28,62,0.452,6,19,0.316,22,43,0.512,0.5,8,13,0.615,8,35,43,10,7,4,6,15,70,parkeja01
156,Tony Parker,PG,35,SAS,5,0,67,14,37,0.378,0,5,0,14,32,0.438,0.378,5,7,0.714,0,4,4,6,2,0,4,2,33,parketo01
157,Patrick Patterson,PF,28,OKC,6,0,58,3,6,0.5,2,4,0.5,1,2,0.5,0.667,0,0,,1,10,11,3,1,0,3,8,8,pattepa01
158,Brandon Paul,SG,26,SAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,paulbr01
159,Chris Paul,PG,32,HOU,15,15,517,118,257,0.459,37,99,0.374,81,158,0.513,0.531,44,53,0.83,9,80,89,87,30,4,28,47,317,paulch01
160,Jakob Poeltl,C,22,TOR,9,0,140,17,31,0.548,0,1,0,17,30,0.567,0.548,15,19,0.789,15,21,36,6,3,4,8,25,49,poeltja01
161,Otto Porter Jr.,SF,24,WAS,5,5,158,20,41,0.488,5,12,0.417,15,29,0.517,0.549,5,8,0.625,1,24,25,8,6,5,3,6,50,porteot01
162,Norman Powell,SG,24,TOR,6,0,40,4,14,0.286,1,7,0.143,3,7,0.429,0.321,3,4,0.75,0,2,2,2,0,0,1,4,12,powelno01
163,Zhou Qi,C,22,HOU,3,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,0,2,qizh01
164,J.J. Redick,SG,33,PHI,10,10,342,60,135,0.444,26,75,0.347,34,60,0.567,0.541,36,42,0.857,3,12,15,26,8,1,11,21,182,redicjj01
165,Josh Richardson,SF,24,MIA,5,5,130,15,40,0.375,6,19,0.316,9,21,0.429,0.45,6,7,0.857,4,11,15,14,11,5,5,17,42,richajo01
166,Glenn Robinson III,SF,24,IND,2,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,0,2,robingl02
167,Rajon Rondo,PG,31,NOP,9,9,302,38,92,0.413,8,19,0.421,30,73,0.411,0.457,9,14,0.643,9,59,68,110,13,2,33,20,93,rondora01
